REFERENCE;SAMPLE CODE;SITE NAME ;WTD;pH;LAT ;LONG;ALA MIL;AMP WRI;ARC ART;ARC CAT;ARC DIS;ARC GIB;ARC HEM;ARC VUL;ARC FLA;ARG DEN;ASS MUS;ASS SEM;BUL IND;CEN ACU;CEN CAS;CEN ECO;CEN PLA;CON PON;COR TRI;CRY OVI;CRY SAC;CYC ARC;CYP AMP;DIF ACU;DIF BAC;DIF GLO;DIF LEI;DIF LUC;DIF OBL;DIF OVI;DIF PRI;DIF PUL;DIF RUB;DIF URC;EUG CIL;EUG ROT;EUG STR;EUG TUB;GIB TUB;HEL PET;HEL ROS;HEL SPH;HEL SYL;HYA ELE;HYA MIN;HYA PAP;HYA SUB;LES EPI;LES SPI;NEB BAR;NEB COL;NEB FLA;NEB MIN;NEB PEN;NEB TIN;PAD LAG;PAD WAI;PAR IRR;PHR ACR;PHY GRI;PLAGIO;PLA SPI;PLA CAR;PLA MAR;PSE FAS;PSE FUL;PYXI;QUA SYM;SPH LEN;TRA DEN;TRI ARC ;WAI EBO;;;;;
Booth 2001;832bda;Grand Traverse Bay;-37,0;5,5;47,166;-88,255;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,8;0,0;0,0;6,5;32,3;0,0;0,0;0,0;0,0;0,0;0,0;0,8;0,0;0,0;0,0;23,4;0,0;23,4;0,8;0,0;0,0;0,0;0,8;0,0;0,0;0,0;0,0;0,8;0,0;0,0;0,0;1,6;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,8;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;;;;;
Booth 2002;1020B;Au Train Bay;-27,0;5,6;46,548;-86,059;0,0;0,0;0,0;0,0;4,4;0,0;5,9;11,8;0,0;0,0;0,0;0,0;0,0;13,2;17,6;0,0;1,5;0,0;0,0;0,0;0,0;0,0;0,0;1,5;0,0;30,9;0,0;0,0;2,9;0,0;0,0;1,5;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;1,5;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;1,5;1,5;0,0;0,0;1,5;0,0;0,0;0,0;0,0;0,0;0,0;;;;;
Booth 2001;968ada;Tahquamenon Bay;-26,0;6,6;46,475;-84,995;0,0;0,0;0,0;0,0;4,9;0,0;0,0;3,9;0,0;0,0;3,9;0,0;0,0;26,2;22,3;0,0;0,0;0,0;1,0;0,0;0,0;20,4;0,0;0,0;0,0;2,9;0,0;2,9;1,9;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;1,0;0,0;0,0;0,0;0,0;1,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;;;;;
Booth 2001;832ada;Grand Traverse Bay;-21,0;5,3;47,166;-88,255;0,0;0,0;0,0;0,0;6,4;0,0;0,0;2,0;0,0;0,0;0,0;0,0;0,0;4,0;23,8;0,0;0,0;0,0;0,0;0,0;0,0;2,0;0,0;0,0;0,0;26,2;0,0;26,2;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,5;0,0;0,0;0,0;1,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;1,0;0,0;0,0;0,0;0,0;0,0;1,0;0,0;0,0;0,0;;;;;
Booth 2001;967ada;Tahquamenon Bay;-21,0;6,1;46,475;-84,995;0,0;0,0;0,0;0,0;0,9;0,0;0,0;2,8;0,0;0,0;1,9;0,0;0,0;35,2;38,9;0,0;0,0;0,0;0,0;0,0;0,0;6,5;0,0;0,0;0,0;1,9;0,0;1,9;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;2,8;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,9;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;;;;;
Markel et al. 2010;AK48;Gas field;-18,0;6,16;60,445;-151,246;0,0;0,0;0,0;2,7;0,0;0,0;0,0;4,1;2,7;0,0;0,0;0,0;0,0;6,8;20,3;0,0;0,0;0,0;8,1;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;6,8;0,0;0,0;0,0;0,0;0,0;2,7;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;39,2;0,0;0,0;0,0;6,8;0,0;0,0;;;;;
Markel et al. 2010;AK93;Brown's Lake;-17,0;5,87;60,471;-150,728;0,0;2,8;0,0;0,7;0,0;0,0;0,0;0,0;2,8;5,6;8,3;0,0;0,0;2,1;0,7;0,0;0,0;0,0;41,7;10,4;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,7;0,0;0,0;0,0;0,0;0,7;0,0;0,0;2,1;0,0;1,4;0,7;0,0;0,0;0,0;2,1;0,0;0,0;0,0;0,0;0,7;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;1,4;0,7;2,8;0,0;2,1;0,0;4,2;2,8;2,1;0,0;0,0;;;;;
Markel et al. 2010;AK84;Brown's Lake;-16,5;6,24;60,471;-150,728;0,0;0,0;0,0;0,0;0,0;0,0;3,6;0,0;0,0;0,9;0,0;0,0;0,0;4,5;9,1;2,7;0,0;0,0;40,9;3,6;0,0;2,7;0,0;0,0;0,0;0,0;0,9;0,0;0,0;0,0;0,9;0,0;0,0;0,0;0,0;6,4;2,7;6,4;0,9;0,0;0,0;0,9;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,9;0,0;0,0;0,0;0,0;0,0;0,0;0,9;0,0;0,0;0,0;0,0;0,0;0,0;0,0;1,8;0,0;0,0;0,0;6,4;0,0;0,0;;;;;
Sullivan and Booth 2011;TA28;Tannersville;-16,5;4,63;41,037;-75,266;17,8;0,0;0,0;0,0;23,3;0,0;0,0;0,0;0,0;0,0;4,8;0,0;0,0;1,4;0,0;0,0;0,0;0,0;1,4;0,0;0,0;17,1;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;1,4;0,7;0,0;0,0;0,0;1,4;0,7;0,0;0,0;0,7;0,0;0,0;0,7;11,6;0,0;0,0;10,3;0,0;0,0;0,0;0,0;0,0;0,0;0,0;1,4;0,0;0,0;0,0;0,7;2,7;0,0;0,0;0,0;0,0;0,0;2,1;0,0;0,0;0,0;0,0;0,0;0,0;;;;;
Booth 2001;965ada;Tahquamenon Bay;-15,0;6,9;46,475;-84,995;0,0;0,0;0,0;0,0;0,0;0,0;0,0;2,0;0,0;0,7;0,7;0,0;0,0;52,3;9,3;0,0;0,0;0,0;0,7;0,0;0,0;9,3;0,0;0,0;0,0;0,7;0,0;0,7;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;5,3;3,3;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,7;0,0;0,0;0,0;0,0;9,3;0,0;0,0;0,0;;;;;
