Feature,Importance
ARC FLA,0.08541737
PSY GRI,0.07356117
NEB CAR,0.06684768
DIF OBL,0.058884706
ASS MUS,0.056877222
TRI ARC,0.049476232
DIF LEI,0.04384891
ARC DIS,0.036722828
COR TRI,0.036563046
CEN ACU,0.03206021
DIF LUC,0.030540232
NEB MIL,0.028356764
HYA ELE,0.028286288
AMP WRI,0.027428476
NEB TIN,0.025345715
EUG ROT,0.022509115
NEB COL,0.021466289
HEL SYL,0.020393329
HEL PET,0.018075999
ARC HEM,0.016524486
BUL IND,0.016218115
NEB FLA,0.016116194
EUG CIL,0.014737961
PLA SPI,0.013249579
HEL ROS,0.013152912
ASS SEM,0.0129780695
CYC ARC,0.01279953
NEB MIN,0.012099228
CRY OVI,0.0119598
ARC ARE,0.011638147
CRY SAC,0.01155247
NEB PEN,0.0110160215
HYA SUB,0.010957558
HYA PAP,0.010895108
SPHENO,0.0100641865
CEN ECO,0.008386579
CEN AER,0.007387622
ARG DEN,0.0050166575
ARC VUL,0.004982563
PAD LAG,0.00473754
ARC GIB,0.000868082
DIF LAB,0.0
DIF GRA,0.0
LES SPI,0.0
PAR IRR,0.0
ARC DEN,0.0
CYP AMP,0.0
PYX OPE,0.0
QUA SYM,0.0
MIC PAT,0.0
TRA DEN,0.0
DIF ACU,0.0
